"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"IGLD","Internet Gold Golden Lines Ltd.","8.6082","165304865.7252","n/a","1999","Public Utilities","Telecommunications Equipment","https://www-qc.nasdaq.com/symbol/igld",
"IIJI","Internet Initiative Japan, Inc.","9.39","15652867.08","1666972","n/a","Technology","Computer Software: Programming, Data Processing","https://www-qc.nasdaq.com/symbol/iiji",
"IDXG","Interpace Diagnostics Group, Inc.","1.15","30876378.75","n/a","n/a","Health Care","Medical/Dental Instruments","https://www-qc.nasdaq.com/symbol/idxg",
"XENT","Intersect ENT, Inc.","34.65","1020647073.6","n/a","2014","Health Care","Medical/Dental Instruments","https://www-qc.nasdaq.com/symbol/xent",
"INTX","Intersections, Inc.","2.08","50109481.76","n/a","2004","Technology","EDP Services","https://www-qc.nasdaq.com/symbol/intx",
"IVAC","Intevac, Inc.","6.8","148165247.6","n/a","1995","Technology","Industrial Machinery/Components","https://www-qc.nasdaq.com/symbol/ivac",
"INTL","INTL FCStone Inc.","43.23","812843271.57","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www-qc.nasdaq.com/symbol/intl",
"ITCI","Intra-Cellular Therapies Inc.","18.4","1004228318.4","n/a","n/a","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/itci",
"IIN","IntriCon Corporation","21","144249273","n/a","n/a","Capital Goods","Electrical Products","https://www-qc.nasdaq.com/symbol/iin",
"INTU","Intuit Inc.","163","41670932885","n/a","1993","Technology","Computer Software: Prepackaged Software","https://www-qc.nasdaq.com/symbol/intu",
"ISRG","Intuitive Surgical, Inc.","421.17","47191187088.12","n/a","2000","Health Care","Industrial Specialties","https://www-qc.nasdaq.com/symbol/isrg",
"ISTR","Investar Holding Corporation","24.65","214918666.5","n/a","2014","Finance","Major Banks","https://www-qc.nasdaq.com/symbol/istr",
"ISBC","Investors Bancorp, Inc.","14.31","4381114597.74","n/a","n/a","Finance","Major Banks","https://www-qc.nasdaq.com/symbol/isbc",
"ITIC","Investors Title Company","195.74","369366469.24","n/a","n/a","Finance","Specialty Insurers","https://www-qc.nasdaq.com/symbol/itic",
"NVIV","InVivo Therapeutics Holdings Corp.","0.7132","24418572.9808","n/a","n/a","Health Care","Medical/Dental Instruments","https://www-qc.nasdaq.com/symbol/nviv",
"IVTY","Invuity, Inc.","5.7","97694414.7","n/a","2015","Health Care","Medical/Dental Instruments","https://www-qc.nasdaq.com/symbol/ivty",
"IONS","Ionis Pharmaceuticals, Inc.","53.17","6635376947.68","n/a","n/a","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/ions",
"IPAS","iPass Inc.","0.4875","32536784.9625","n/a","2003","Technology","EDP Services","https://www-qc.nasdaq.com/symbol/ipas",
"IPGP","IPG Photonics Corporation","258.33","13932900934.98","n/a","2006","Technology","Semiconductors","https://www-qc.nasdaq.com/symbol/ipgp",
"CSML","IQ Chaikin U.S. Small Cap ETF","29.13","377233529.13","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/csml",
"IRMD","iRadimed Corporation","15.7","165717158.1","n/a","2014","Health Care","Medical/Dental Instruments","https://www-qc.nasdaq.com/symbol/irmd",
"IRTC","iRhythm Technologies, Inc.","60.64","1393596158.88","n/a","2016","Health Care","Medical/Dental Instruments","https://www-qc.nasdaq.com/symbol/irtc",
"IRIX","IRIDEX Corporation","8.16","94491306.72","n/a","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www-qc.nasdaq.com/symbol/irix",
"IRDM","Iridium Communications Inc","12.15","1190346568.65","n/a","n/a","Consumer Durables","Telecommunications Equipment","https://www-qc.nasdaq.com/symbol/irdm",
"IRDMB","Iridium Communications Inc","402","201000000","n/a","n/a","Consumer Durables","Telecommunications Equipment","https://www-qc.nasdaq.com/symbol/irdmb",
"IRBT","iRobot Corporation","82.79","2307733994.5","n/a","2005","Consumer Durables","Consumer Electronics/Appliances","https://www-qc.nasdaq.com/symbol/irbt",
"IRWD","Ironwood Pharmaceuticals, Inc.","15.1","2261314996","n/a","n/a","Health Care","Major Pharmaceuticals","https://www-qc.nasdaq.com/symbol/irwd",
"IRCP","IRSA Propiedades Comerciales S.A.","57.5","42834625","744950","n/a","Consumer Services","Building operators","https://www-qc.nasdaq.com/symbol/ircp",
"PMPT","iSectors Post-MPT Growth ETF","27.5","13750110","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/pmpt",
"SLQD","iShares 0-5 Year Investment Grade Corporate Bond ETF","50.22","690525000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/slqd",
"CSJ","iShares 1-3 Year Credit Bond ETF","104.47","11554382000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/csj",
"ISHG","iShares 1-3 Year International Treasury Bond ETF","84.7012","76231080","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ishg",
